"1";"television";"television";"375";"televsion Noir dgsf lrem ispumz plasma";"1"
"2";"Table à manger";"Table à manger";"500";"table en bois avec chaise lorem ipsumxem";"1"
"3";"Frigo thailandais";"Frigo thailandais";"645";"frigo figo gros ou assez gros je ne sais plus";"1"
"4";"fauteuil-table";"fauteuil-table";"568";"fauteuil et mini table confortable lorem";"1"
"5";"fauteuil Canapé";"fauteuil Canapé";"620";"fauteuil tres et canape fortable lorement";"1"
"6";"fauteuil en cuire";"fauteuil en cuire";"600";"fauteil fait de cuire fortable lorem islvo";"1"
"7";"fauteuil salon";"fauteuil salon";"400";"fauteil tout blanc de cuire qua bavdssimo";"1"
"8";"chaise table";"chaise table";"564";"chaise blanche et table et mini table cp looorem";"1"
"9";"chaise longue";"chaise longue";"125";"chaise longue ispillp pas d'inspetails looorem";"1"
"10";"canape";"canape";"452";"canape gris ou blanc je ne szais papas d'insorem";"1"
